checkpoint,layer_idx,head_idx,OV_PR,QK_PR,OV_entropy,QK_entropy,sigma_OV_max,sigma_QK_max
0,0,0,113.97784423828125,113.86257934570312,4.791126728057861,4.790725231170654,1.0780099630355835,1.0751031637191772
0,0,1,113.4943618774414,113.86698913574219,4.788913726806641,4.790611267089844,1.0805799961090088,1.0743592977523804
0,0,2,113.8133316040039,113.857666015625,4.790287494659424,4.790694713592529,1.0891928672790527,1.0888983011245728
0,0,3,113.6518783569336,113.79004669189453,4.7895917892456055,4.790330410003662,1.0889191627502441,1.078754186630249
0,0,4,113.53510284423828,113.62068939208984,4.788881778717041,4.789615154266357,1.082844614982605,1.0997222661972046
0,0,5,113.89657592773438,113.7872085571289,4.790741920471191,4.790132522583008,1.0882881879806519,1.076003909111023
0,0,6,113.77996063232422,113.53248596191406,4.790197372436523,4.788931369781494,1.0763473510742188,1.0900684595108032
0,0,7,113.76909637451172,113.86397552490234,4.790019989013672,4.7907562255859375,1.0783756971359253,1.079313039779663
0,0,8,113.8121337890625,113.64961242675781,4.790315628051758,4.789280891418457,1.0854039192199707,1.0787279605865479
0,0,9,113.33070373535156,113.68965911865234,4.788083553314209,4.7896928787231445,1.0987614393234253,1.079030156135559
0,0,10,113.93179321289062,113.68972778320312,4.790886878967285,4.789572715759277,1.075964093208313,1.0734894275665283
0,0,11,113.59029388427734,113.81970977783203,4.789363384246826,4.790197372436523,1.0849051475524902,1.0859763622283936
0,0,12,113.35309600830078,113.89606475830078,4.788398265838623,4.790565013885498,1.0893763303756714,1.07489812374115
0,0,13,113.90367889404297,113.7577133178711,4.790526866912842,4.789988994598389,1.0805491209030151,1.0705903768539429
0,0,14,113.64527893066406,113.8243179321289,4.78965950012207,4.790350914001465,1.0827165842056274,1.0798135995864868
0,0,15,113.73208618164062,114.04309844970703,4.789923667907715,4.791348934173584,1.0760619640350342,1.0685728788375854
0,1,0,113.5626220703125,113.81533813476562,4.789303302764893,4.7903852462768555,1.0789655447006226,1.0749754905700684
0,1,1,113.91889190673828,113.92028045654297,4.790839195251465,4.790802955627441,1.0829405784606934,1.0731250047683716
0,1,2,113.8830337524414,113.69759368896484,4.790706157684326,4.7899088859558105,1.0869890451431274,1.0784331560134888
0,1,3,113.7288818359375,113.35858917236328,4.789809703826904,4.788217544555664,1.0724077224731445,1.0777934789657593
0,1,4,113.36181640625,113.32498168945312,4.788315773010254,4.787916660308838,1.0859441757202148,1.0817519426345825
0,1,5,113.83094787597656,113.26237487792969,4.790295600891113,4.787840843200684,1.0715174674987793,1.1004185676574707
0,1,6,113.63361358642578,113.7306137084961,4.789839744567871,4.7899298667907715,1.0955708026885986,1.07563316822052
0,1,7,113.7849349975586,113.74128723144531,4.790117263793945,4.790105819702148,1.0702873468399048,1.0806145668029785
0,1,8,113.72374725341797,113.85491943359375,4.790033340454102,4.790660381317139,1.0817813873291016,1.074334740638733
0,1,9,113.4881591796875,113.83296966552734,4.789059638977051,4.790348529815674,1.0799404382705688,1.0725733041763306
0,1,10,113.49764251708984,113.63072204589844,4.789196491241455,4.789371490478516,1.087759256362915,1.0723153352737427
0,1,11,113.24285125732422,113.55195617675781,4.787823677062988,4.788978099822998,1.0917332172393799,1.076493263244629
0,1,12,114.09657287597656,113.75301361083984,4.791581153869629,4.790088176727295,1.0661439895629883,1.087062954902649
0,1,13,113.91787719726562,113.6160888671875,4.790859699249268,4.789567947387695,1.078517198562622,1.0760996341705322
0,1,14,113.4211654663086,113.51114654541016,4.788670063018799,4.788877487182617,1.0968714952468872,1.0747871398925781
0,1,15,113.6963119506836,113.64331817626953,4.790095806121826,4.789484024047852,1.0853760242462158,1.0867078304290771
0,2,0,113.88969421386719,114.02925872802734,4.790960311889648,4.791182994842529,1.0949296951293945,1.0709624290466309
0,2,1,113.80574035644531,113.88848114013672,4.790215015411377,4.790815353393555,1.072432518005371,1.0852710008621216
0,2,2,113.72067260742188,113.50074005126953,4.790000915527344,4.789040565490723,1.0826936960220337,1.087759256362915
0,2,3,113.67435455322266,113.56990814208984,4.789694309234619,4.789287567138672,1.0875569581985474,1.0793912410736084
0,2,4,113.56498718261719,113.93133544921875,4.789205551147461,4.790827751159668,1.0763148069381714,1.0789432525634766
0,2,5,113.63681030273438,113.5242691040039,4.789299964904785,4.788944244384766,1.0752869844436646,1.086546778678894
0,2,6,113.8315200805664,113.69232177734375,4.790655612945557,4.789914608001709,1.0723851919174194,1.0759515762329102
0,2,7,113.83379364013672,113.5163345336914,4.790316581726074,4.789015293121338,1.0730454921722412,1.0904200077056885
0,2,8,113.86949157714844,113.52146911621094,4.790603160858154,4.789026260375977,1.075627326965332,1.0793989896774292
0,2,9,113.77616119384766,113.83671569824219,4.790065765380859,4.790368556976318,1.0736912488937378,1.0841948986053467
0,2,10,113.3719711303711,113.35432434082031,4.7882843017578125,4.788253307342529,1.0864726305007935,1.0979145765304565
0,2,11,113.82215118408203,113.5776596069336,4.7904229164123535,4.789303302764893,1.083783745765686,1.0720638036727905
0,2,12,113.54100036621094,113.8661880493164,4.7890448570251465,4.79055643081665,1.0817795991897583,1.0669019222259521
0,2,13,113.7365493774414,113.48387908935547,4.790093898773193,4.788729190826416,1.098434329032898,1.0917688608169556
0,2,14,113.785888671875,113.84793853759766,4.790175437927246,4.790494918823242,1.0666300058364868,1.0931240320205688
0,2,15,113.45854949951172,113.68988037109375,4.788549900054932,4.789808750152588,1.0782206058502197,1.0803329944610596
0,3,0,113.772705078125,113.43299102783203,4.7901458740234375,4.788333892822266,1.0873675346374512,1.0810626745224
0,3,1,113.7353744506836,113.39278411865234,4.7898850440979,4.788211822509766,1.0726749897003174,1.0793724060058594
0,3,2,113.74728393554688,113.820068359375,4.790043354034424,4.790307998657227,1.0897701978683472,1.0812526941299438
0,3,3,113.71743774414062,113.86348724365234,4.7900004386901855,4.790579795837402,1.0783779621124268,1.0865813493728638
0,3,4,113.95498657226562,113.96158599853516,4.790981769561768,4.791026592254639,1.0721670389175415,1.0883347988128662
0,3,5,113.95399475097656,114.22847747802734,4.790948867797852,4.792298316955566,1.088930606842041,1.0724241733551025
0,3,6,113.73853302001953,114.01054382324219,4.7899651527404785,4.791295528411865,1.0780718326568604,1.0786628723144531
0,3,7,113.89642333984375,113.76258087158203,4.790719032287598,4.7899885177612305,1.0776410102844238,1.0809496641159058
0,3,8,113.77286529541016,113.5181884765625,4.79000186920166,4.789055824279785,1.0804530382156372,1.1105366945266724
0,3,9,113.7491226196289,113.7183609008789,4.790049076080322,4.789992332458496,1.0818783044815063,1.0837451219558716
0,3,10,113.69578552246094,113.6928482055664,4.789865016937256,4.789791584014893,1.086332082748413,1.078750491142273
0,3,11,113.21414947509766,113.76979064941406,4.787626266479492,4.79011869430542,1.0898778438568115,1.0740915536880493
0,3,12,113.82005310058594,113.86811828613281,4.7901225090026855,4.790406227111816,1.078298807144165,1.0765749216079712
0,3,13,113.91297912597656,113.83434295654297,4.7905802726745605,4.790475845336914,1.078671932220459,1.076826572418213
0,3,14,113.96775817871094,114.18586730957031,4.791027069091797,4.791874408721924,1.0807064771652222,1.074859380722046
0,3,15,113.4823226928711,113.80410766601562,4.789088249206543,4.790497303009033,1.07863187789917,1.085649847984314
0,4,0,113.65320587158203,113.75419616699219,4.789703845977783,4.790078639984131,1.086631178855896,1.0777679681777954
0,4,1,113.67814636230469,113.49665832519531,4.7897233963012695,4.788820743560791,1.089893102645874,1.0808348655700684
0,4,2,113.70124816894531,113.88013458251953,4.7899370193481445,4.790513038635254,1.075310468673706,1.0834569931030273
0,4,3,113.7486343383789,113.61593627929688,4.789959907531738,4.789398193359375,1.0718672275543213,1.0785930156707764
0,4,4,113.80175018310547,113.78741455078125,4.790170669555664,4.790565013885498,1.0863368511199951,1.0990123748779297
0,4,5,113.7987060546875,113.77222442626953,4.790404319763184,4.7901530265808105,1.0835444927215576,1.0681849718093872
0,4,6,113.7006607055664,113.80162811279297,4.7898125648498535,4.790160655975342,1.103737711906433,1.0715800523757935
