checkpoint,layer_idx,head_idx,baseline_loss,perturbed_loss,delta,elapsed_sec
1000,0,0,5.707489910125733,5.847202587127685,-0.024478830309289983,7.053171157836914
1000,0,1,5.707489910125733,5.868024635314941,-0.028127027417849948,7.077343463897705
1000,0,2,5.707489910125733,5.829283676147461,-0.02133928713665392,7.097869157791138
1000,0,3,5.707489910125733,5.801334838867188,-0.016442416932698135,7.114488363265991
1000,0,4,5.707489910125733,5.841453495025635,-0.02347154125708322,7.120736837387085
1000,0,5,5.707489910125733,5.815775947570801,-0.01897262003967039,7.129263877868652
1000,0,6,5.707489910125733,5.79674072265625,-0.015637489322964257,7.133530855178833
1000,0,7,5.707489910125733,5.866632804870606,-0.027883167075343485,7.139821529388428
1000,0,8,5.707489910125733,5.838403930664063,-0.022937232058189646,7.145221471786499
1000,0,9,5.707489910125733,5.865986862182617,-0.027769992510314014,7.1558678150177
1000,0,10,5.707489910125733,5.867140617370605,-0.027972140075383067,7.164190292358398
1000,0,11,5.707489910125733,5.769831714630127,-0.010922805906987647,7.170191526412964
1000,0,12,5.707489910125733,5.8107151222229,-0.018085921083107706,7.169729709625244
1000,0,13,5.707489910125733,5.762461071014404,-0.009631407458320043,7.173462152481079
1000,0,14,5.707489910125733,5.835310726165772,-0.0223952767421052,7.174791097640991
1000,0,15,5.707489910125733,5.9319179725646975,-0.0393216748470819,7.171586275100708
1000,1,0,5.707489910125733,5.712810707092285,-0.000932248159933288,7.179344177246094
1000,1,1,5.707489910125733,5.725063972473144,-0.0030791228060224967,7.181057929992676
1000,1,2,5.707489910125733,5.708446655273438,-0.00016762975717354406,7.1809539794921875
1000,1,3,5.707489910125733,5.717864017486573,-0.0018176304337279754,7.180082559585571
1000,1,4,5.707489910125733,5.715952281951904,-0.0014826783681488728,7.180967569351196
1000,1,5,5.707489910125733,5.717648391723633,-0.001779850995422278,7.181800127029419
1000,1,6,5.707489910125733,5.710316829681396,-0.000495299965515158,7.182308673858643
1000,1,7,5.707489910125733,5.7122776985168455,-0.0008388605966028315,7.182923793792725
1000,1,8,5.707489910125733,5.714337177276612,-0.0011996985117277165,7.184736013412476
1000,1,9,5.707489910125733,5.715609798431396,-0.0014226723890055169,7.185185194015503
1000,1,10,5.707489910125733,5.716162509918213,-0.0015195120673089915,7.185802459716797
1000,1,11,5.707489910125733,5.7102659225463865,-0.00048638060940392876,7.188037157058716
1000,1,12,5.707489910125733,5.715743827819824,-0.0014461554595914124,7.187661647796631
1000,1,13,5.707489910125733,5.722552871704101,-0.002639156935108198,7.185731649398804
1000,1,14,5.707489910125733,5.715063457489014,-0.0013269488834039677,7.185046434402466
1000,1,15,5.707489910125733,5.727140064239502,-0.0034428714589416357,7.185579776763916
1000,2,0,5.707489910125733,5.715940265655518,-0.0014805730124538858,7.184615612030029
1000,2,1,5.707489910125733,5.716412525177002,-0.0015633168331037849,7.184959888458252
1000,2,2,5.707489910125733,5.708013191223144,-9.168322776761093e-05,7.188346862792969
1000,2,3,5.707489910125733,5.720003108978272,-0.002192417165791089,7.1876044273376465
1000,2,4,5.707489910125733,5.7498536300659175,-0.0074224782885777335,7.189576148986816
1000,2,5,5.707489910125733,5.712332153320313,-0.0008484015339193776,7.190429925918579
1000,2,6,5.707489910125733,5.7099636268615725,-0.000433415875418559,7.190206289291382
1000,2,7,5.707489910125733,5.710173397064209,-0.000470169370552125,7.191962003707886
1000,2,8,5.707489910125733,5.719602737426758,-0.002122268719132664,7.191781759262085
1000,2,9,5.707489910125733,5.714011363983154,-0.0011426132958818557,7.190049171447754
1000,2,10,5.707489910125733,5.720240383148194,-0.0022339895861821875,7.190133571624756
1000,2,11,5.707489910125733,5.713145027160644,-0.0009908238339376978,7.189611196517944
1000,2,12,5.707489910125733,5.710751838684082,-0.0005715171835104732,7.189415454864502
1000,2,13,5.707489910125733,5.713182888031006,-0.0009974573752943522,7.191613435745239
1000,2,14,5.707489910125733,5.721980228424072,-0.0025388250398185844,7.18759822845459
1000,2,15,5.707489910125733,5.714935474395752,-0.0013045251743344448,7.189231872558594
1000,3,0,5.707489910125733,5.714752426147461,-0.0012724535892466166,7.190740346908569
1000,3,1,5.707489910125733,5.714673194885254,-0.0012585716089970262,7.1911561489105225
1000,3,2,5.707489910125733,5.711620635986328,-0.0007237377420969631,7.1907079219818115
1000,3,3,5.707489910125733,5.717775840759277,-0.0018021811331274892,7.1930458545684814
1000,3,4,5.707489910125733,5.711148529052735,-0.0006410206561225815,7.188425540924072
1000,3,5,5.707489910125733,5.713470573425293,-0.001047862264101403,7.186758041381836
1000,3,6,5.707489910125733,5.7146769142150875,-0.001259223266712067,7.191747188568115
1000,3,7,5.707489910125733,5.7179951477050786,-0.0018406055454795037,7.190218210220337
1000,3,8,5.707489910125733,5.715917530059815,-0.0014765895458055003,7.192073345184326
1000,3,9,5.707489910125733,5.713876972198486,-0.0011190667304416836,7.191157579421997
1000,3,10,5.707489910125733,5.709503135681152,-0.00035273396661600847,7.1928369998931885
1000,3,11,5.707489910125733,5.711735725402832,-0.0007439023710872728,7.190695762634277
1000,3,12,5.707489910125733,5.712240505218506,-0.0008323440194514888,7.191879034042358
1000,3,13,5.707489910125733,5.711601848602295,-0.0007204460351768948,7.190041780471802
1000,3,14,5.707489910125733,5.711331882476807,-0.0006731457105614449,7.194200754165649
1000,3,15,5.707489910125733,5.708921012878418,-0.0002507411796113432,7.189403533935547
1000,4,0,5.707489910125733,5.70796968460083,-8.406050341773972e-05,7.192405700683594
1000,4,1,5.707489910125733,5.706469287872315,0.00017882156070174509,7.191232442855835
1000,4,2,5.707489910125733,5.716710700988769,-0.0016155597308508023,7.190824031829834
1000,4,3,5.707489910125733,5.70847791671753,-0.000173107023815152,7.191147804260254
1000,4,4,5.707489910125733,5.711543006896973,-0.0007101364759399961,7.1910316944122314
1000,4,5,5.707489910125733,5.70964599609375,-0.0003777643065460061,7.195797920227051
1000,4,6,5.707489910125733,5.746541671752929,-0.006842195473340101,7.19303035736084
1000,4,7,5.707489910125733,5.733243885040284,-0.004512311948000174,7.195953845977783
1000,4,8,5.707489910125733,5.70918176651001,-0.0002964273981940528,7.191103219985962
1000,4,9,5.707489910125733,5.713205490112305,-0.0010014174491017377,7.194795370101929
1000,4,10,5.707489910125733,5.712753200531006,-0.0009221725291070124,7.195369720458984
