checkpoint,perturbation_type,subtype,layer_idx,head_idx,seed,baseline_loss,perturbed_loss,delta,elapsed_sec
512,head,output_zeroing,0,0,-1,6.36227331161499,6.364427433013916,-0.0003385773124511775,1.1932449340820312
512,head,output_zeroing,0,1,-1,6.36227331161499,6.364984436035156,-0.0004261251108494288,1.1961631774902344
512,head,output_zeroing,0,2,-1,6.36227331161499,6.364751415252686,-0.0003894997143822325,1.1984355449676514
512,head,output_zeroing,0,3,-1,6.36227331161499,6.365593147277832,-0.0005218002277238901,1.19956636428833
512,head,output_zeroing,0,4,-1,6.36227331161499,6.362093486785889,2.826424145798371e-05,1.196467638015747
512,head,output_zeroing,0,5,-1,6.36227331161499,6.363188056945801,-0.00014377649088749274,1.1964356899261475
512,head,output_zeroing,0,6,-1,6.36227331161499,6.363398971557618,-0.00017692731630574408,1.1977272033691406
512,head,output_zeroing,0,7,-1,6.36227331161499,6.366762733459472,-0.0007056317175633616,1.1991078853607178
512,head,output_zeroing,0,8,-1,6.36227331161499,6.363905906677246,-0.00025660561599511025,1.2001769542694092
512,head,output_zeroing,0,9,-1,6.36227331161499,6.364170989990234,-0.00029827048954027984,1.1974172592163086
512,head,output_zeroing,0,10,-1,6.36227331161499,6.369894218444824,-0.0011978276406204936,1.198615550994873
512,head,output_zeroing,0,11,-1,6.36227331161499,6.364268894195557,-0.0003136587321584763,1.1987230777740479
512,head,output_zeroing,1,0,-1,6.36227331161499,6.364200305938721,-0.00030287826840338244,1.2041845321655273
512,head,output_zeroing,1,1,-1,6.36227331161499,6.365448017120361,-0.0004989891741329736,1.2052264213562012
512,head,output_zeroing,1,2,-1,6.36227331161499,6.364409847259521,-0.00033581324471412865,1.203171968460083
512,head,output_zeroing,1,3,-1,6.36227331161499,6.359698905944824,0.0004046361330416497,1.2005879878997803
512,head,output_zeroing,1,4,-1,6.36227331161499,6.365498943328857,-0.0005069935785340669,1.2003417015075684
512,head,output_zeroing,1,5,-1,6.36227331161499,6.366086883544922,-0.000599403977658403,1.202928066253662
512,head,output_zeroing,1,6,-1,6.36227331161499,6.365400695800782,-0.0004915513736390987,1.203782558441162
512,head,output_zeroing,1,7,-1,6.36227331161499,6.361902656555176,5.825827367979269e-05,1.205693006515503
512,head,output_zeroing,1,8,-1,6.36227331161499,6.366334552764893,-0.0006383317646050491,1.203490972518921
512,head,output_zeroing,1,9,-1,6.36227331161499,6.363920822143554,-0.00025894997713424024,1.203582525253296
512,head,output_zeroing,1,10,-1,6.36227331161499,6.367829895019531,-0.0008733644614727406,1.2078869342803955
512,head,output_zeroing,1,11,-1,6.36227331161499,6.365020008087158,-0.0004317162023130468,1.211275577545166
512,head,output_zeroing,2,0,-1,6.36227331161499,6.364330730438232,-0.0003233779378019608,1.2091059684753418
512,head,output_zeroing,2,1,-1,6.36227331161499,6.36663709640503,-0.0006858845221366387,1.210374355316162
512,head,output_zeroing,2,2,-1,6.36227331161499,6.365440063476562,-0.0004977390480523844,1.209442377090454
512,head,output_zeroing,2,3,-1,6.36227331161499,6.367713489532471,-0.000855068251712678,1.2097790241241455
512,head,output_zeroing,2,4,-1,6.36227331161499,6.364928989410401,-0.0004174102031364394,1.2087225914001465
512,head,output_zeroing,2,5,-1,6.36227331161499,6.363783550262451,-0.0002373740601027581,1.2082676887512207
512,head,output_zeroing,2,6,-1,6.36227331161499,6.370283317565918,-0.0012589848877295432,1.2074613571166992
512,head,output_zeroing,2,7,-1,6.36227331161499,6.363417682647705,-0.00017986826039454172,1.2107963562011719
512,head,output_zeroing,2,8,-1,6.36227331161499,6.363505992889404,-0.0001937485571649637,1.2123501300811768
512,head,output_zeroing,2,9,-1,6.36227331161499,6.3648507690429685,-0.0004051157977248858,1.2120153903961182
512,head,output_zeroing,2,10,-1,6.36227331161499,6.3634177017211915,-0.00017987125829888436,1.210981845855713
512,head,output_zeroing,2,11,-1,6.36227331161499,6.369738960266114,-0.0011734246998623026,1.2087128162384033
512,head,output_zeroing,3,0,-1,6.36227331161499,6.399340133666993,-0.0058260342233857525,1.2076356410980225
512,head,output_zeroing,3,1,-1,6.36227331161499,6.40176025390625,-0.006206420308786917,1.2072300910949707
512,head,output_zeroing,3,2,-1,6.36227331161499,6.415916366577148,-0.008431428883167833,1.21002197265625
512,head,output_zeroing,3,3,-1,6.36227331161499,6.362162799835205,1.7369857340661388e-05,1.209289789199829
512,head,output_zeroing,3,4,-1,6.36227331161499,6.3712961387634275,-0.0014181766023734787,1.2092761993408203
512,head,output_zeroing,3,5,-1,6.36227331161499,6.365225067138672,-0.0004639466711204426,1.2083818912506104
512,head,output_zeroing,3,6,-1,6.36227331161499,6.364767551422119,-0.0003920359413946848,1.2079272270202637
512,head,output_zeroing,3,7,-1,6.36227331161499,6.360792999267578,0.0002326703483029245,1.2104732990264893
512,head,output_zeroing,3,8,-1,6.36227331161499,6.3654864883422855,-0.0005050359470457846,1.211963415145874
