class,checkpoint,n,nu,loc,sigma,nu_ci_lo,nu_ci_hi,nu_mom,delta_aic_t_vs_normal,std,skew,kurt_excess
never,143000,14,2.054166640517435,-0.00017271117494468703,0.00013698003712970858,2.0037230010498663,2.0955183485019213,inf,-5.544162050227271,0.00017057726233135476,0.08107920876863643,-1.0385481451560394
born,143000,40,2.234001365346781,-0.005455030409881708,0.003437081114824472,1.1113140837422102,544647859.5944939,4.195018251192581,85.36282900663218,0.016592184294977285,-5.54598247264844,30.766351166153086
emergent,143000,28,2.8675464858407453,-0.0024254807529971974,0.0015514328783861235,0.8924724879902711,4185318.5794455893,6.111549622733167,4.584728614443151,0.0026211765788855274,-1.720187449002034,2.8415150349313905
growing,143000,62,1.526175306827097,-0.0033484332710330303,0.0022595105175795896,1.0369918178598165,3.541539711280536,5.9024117946272145,27.16448151097262,0.00585930374584481,-1.9150464397991307,3.1538912957463676
