test,crit,class,n,nu_MLE,nu_MoM,sigma,delta_aic_t_minus_n,std
B1_410M_permissive,0.00011463626662674231,never,22,1.9927225779363722,inf,5.4521137814952594e-05,-8.127614380466241,6.65928309495063e-05
B1_410M_permissive,0.00011463626662674231,born,42,2.5679655640970096,7.780922807233785,0.001286837863964261,0.923313914408368,0.0019462166057307988
B1_410M_permissive,0.00011463626662674231,emergent,21,2.401402529959454,6.40975076592227,0.0008302177639340391,2.533577541171695,0.0014804097873949435
B1_410M_permissive,0.00011463626662674231,growing,59,2.401038356688317,4.118730000863492,0.0008093321752647137,286.9081258701779,0.019955974532814388
B2_160M_strict,0.0026016821499673104,never,61,2.3416436001806806,inf,0.000584362078986383,-13.420570982603294,0.0007278998787227587
B2_160M_strict,0.0026016821499673104,born,6,0.36545785865969227,9.090439491916953,0.00038722939799311606,16.17271159245574,0.037884513184710325
B2_160M_strict,0.0026016821499673104,emergent,55,1.3015610443795613,6.167798629066748,0.0019021055388290485,21.74237772403427,0.005504820885679854
B2_160M_strict,0.0026016821499673104,growing,22,9.522635178665162,14.065351086810592,0.0032924979126436466,-1.6751959286668239,0.0036935766797020976
