model,checkpoint,layer_idx,head_idx,class,OV_PR,QK_PR,OV_entropy,QK_entropy,abs_delta_this_ckpt
410M,0,19,6,growing,56.89998074104197,56.950424312671736,4.09706449508667,4.09761381149292,
410M,0,19,9,emergent,56.942453341869054,56.50145197058889,4.097429275512695,4.093323707580566,
410M,0,19,12,emergent,57.01823365097051,57.204370660393614,4.097509860992432,4.100013732910156,
410M,0,19,15,never,56.75561724081499,57.03386902834141,4.09550142288208,4.098421096801758,
410M,0,20,0,never,56.524559465348496,56.51225464047481,4.0937299728393555,4.093822956085205,
410M,0,20,3,never,56.696082713038734,56.520063970920205,4.094850063323975,4.093362331390381,
410M,0,20,6,growing,56.56135637128371,56.51969656103614,4.093931198120117,4.093724727630615,
410M,0,20,9,emergent,56.73404773343354,56.762938682271255,4.0955915451049805,4.095765590667725,
410M,0,20,12,never,56.968516751327655,56.60342856366089,4.097775459289551,4.094074249267578,
410M,0,20,15,never,56.461371185788025,56.98325257395782,4.092639923095703,4.097485542297363,
