layer_idx,head_idx,class,abs_delta,random_control,OV_PR,QK_PR,OV_entropy,QK_entropy,emergent_dummy,log_abs_delta
0,0,growing,0.0179917349917949,0.6768177345385407,28.57886315006542,45.34966761615522,3.779698133468628,3.932255268096924,1,-4.017842793657982
0,1,growing,0.0054311555996626,0.7645860738839281,17.334884115543726,42.18104822715125,3.6038570404052734,3.8659844398498535,1,-5.215603350061328
0,2,growing,0.0208036060566962,-0.7067338406308736,36.06638910620827,44.70615705721027,3.843980312347412,3.8843250274658203,1,-3.8726289391909847
0,3,born,0.0175125266361401,0.15839793533492322,28.072856511469414,33.0678183476129,3.7288851737976074,3.781745195388794,0,-4.044838846341433
0,4,emergent,0.0030126163355101,-1.2906350511259648,29.131071807742746,42.73510202128884,3.767500400543213,3.9126577377319336,1,-5.80494636331429
0,5,growing,0.010949165782536,-0.6518104429980751,10.469466306393553,43.781123133688,3.2763514518737793,3.892019033432007,1,-4.514492009865082
0,6,growing,0.0039342365036353,0.34535374052815226,35.46593192048358,45.89249508393706,3.909700870513916,3.929896831512451,1,-5.538038442968869
0,7,born,0.0065067911294714,0.6594772664311082,9.524865892809462,49.81082345105646,3.235567331314087,3.9663805961608887,0,-5.034908858343422
0,8,growing,0.0041885295326575,1.2572513937342973,37.97577343630185,45.890358845059744,3.9331917762756348,3.9327597618103027,1,-5.475405553504137
0,9,growing,0.0047524181303349,-0.6212476975840224,31.846005014720046,44.97108135693882,3.8442678451538086,3.914222478866577,1,-5.34910171040238
0,10,born,0.0113215167499948,0.557660680468437,21.00690010487975,29.703609760556958,3.4875071048736572,3.7270054817199707,0,-4.481050226667318
0,11,growing,0.0255708902172668,1.6580643217282014,56.84086026880868,48.33471157889435,4.0961809158325195,3.940037727355957,1,-3.6663006753743588
1,0,growing,0.002851091417363,0.6591384055502599,39.60857484105243,44.771547710671385,3.916717529296875,3.9356484413146973,1,-5.860053404548838
1,1,growing,0.0234748593302597,-1.7283561299389247,44.18430707179808,48.053751282413344,3.967308521270752,3.961024761199951,1,-3.75182524622697
1,2,growing,0.0033137158148029,-0.9382204650476825,32.33647372494289,36.99229179958284,3.8269920349121094,3.827580213546753,1,-5.70968511658086
