layer_idx,head_idx,class,abs_delta,random_control,OV_PR,QK_PR,OV_entropy,QK_entropy,sigma_OV_max,sigma_QK_max,emergent_dummy
0,0,emergent,0.00129499013481,0.6768177345385407,36.8276414296331,41.90197342364497,3.8994202613830566,3.8684840202331543,0.6942884922027588,2.277714490890503,1
0,3,never,0.0001733011736921,0.7645860738839281,28.74599324667674,37.96769766812886,3.72481369972229,3.8548226356506348,0.6469409465789795,1.5670602321624756,0
0,6,emergent,0.0005042157250107,-0.7067338406308736,24.808688469558668,41.21122485385082,3.7468490600585938,3.886765480041504,0.7261782288551331,1.882829189300537,1
0,9,born,0.0085021984531792,0.15839793533492322,44.53166456669373,44.53250703692309,3.9732275009155273,3.901768207550049,0.7828327417373657,1.6600638628005981,0
0,12,growing,0.0015423144891815,-1.2906350511259648,30.816982594413826,39.45967674477199,3.7955594062805176,3.844992160797119,0.5761959552764893,2.4232897758483887,1
0,15,growing,0.0006434898480815,-0.6518104429980751,31.766199052773057,43.38034578480122,3.843146562576294,3.8993825912475586,0.6393545269966125,2.335066795349121,1
1,0,never,0.0003368902264228,0.34535374052815226,27.755716245431177,29.34360569692436,3.797027349472046,3.7442915439605713,0.9234620332717896,2.7573859691619873,0
1,3,emergent,0.0021826186296742,0.6594772664311082,23.44470350065664,22.439292397136203,3.6178197860717773,3.5303237438201904,0.5556732416152954,4.131246566772461,1
1,6,growing,0.0070965231177482,1.2572513937342973,47.014640591698914,49.22351995746093,4.0190839767456055,3.968184232711792,0.7767384052276611,2.4690403938293457,1
1,9,growing,0.0016724766970683,-0.6212476975840224,41.183376460873845,38.31691601256373,3.9521377086639404,3.892960548400879,0.5462489128112793,1.7850944995880127,1
1,12,growing,0.0018900315044384,0.557660680468437,49.48609551626283,47.35692581991333,4.039731502532959,3.955143928527832,0.7083843350410461,1.7238209247589111,1
1,15,emergent,0.0011013116451855,1.6580643217282014,52.00728235754075,49.830175943878025,4.058813095092773,3.9867019653320312,0.5939820408821106,1.814371943473816,1
2,0,emergent,0.0007692791281602,0.6591384055502599,38.096149032997836,44.46168390435441,3.9417757987976074,3.9523797035217285,0.8110304474830627,2.235086679458618,1
2,3,growing,0.0007305130901631,-1.7283561299389247,36.95135920678646,44.78819209565927,3.957979202270508,3.9389986991882324,0.8314434885978699,1.9364553689956665,1
2,6,never,9.88888486076364e-05,-0.9382204650476825,23.820267111498197,21.872987419543744,3.632915496826172,3.598632574081421,0.713654637336731,2.5347342491149902,0
2,9,growing,0.0034588935568592,0.08088283678619984,25.96287417089977,37.61042526270753,3.8004302978515625,3.8387579917907715,0.8000236749649048,1.9280352592468262,1
2,12,never,0.0004561267104573,0.8646169050443756,41.08741513693464,43.22172742710655,3.958606719970703,3.9037022590637207,0.7822494506835938,2.134183883666992,0
2,15,never,3.432055784227512e-05,-0.6894224902053585,44.718429666064196,42.92641373252415,3.991675853729248,3.912075996398926,0.5984126925468445,1.8098058700561523,0
3,0,growing,0.0042279220496398,0.6351007617356214,31.49606111893629,47.00553177986746,3.8089053630828857,3.9581971168518066,0.6383504867553711,0.9853748083114624,1
3,3,growing,0.0023017891570299,-1.1909914482936022,47.605073928284355,46.89215381262175,4.003907203674316,3.9366328716278076,0.6225573420524597,2.0884218215942383,1
3,6,growing,0.0017146263126908,0.6305687962516735,50.65086549631962,50.63547113187336,4.047436714172363,4.009712219238281,0.6567304134368896,1.8142949342727661,1
3,9,born,0.0031857570562177,1.1594946777147646,47.19050936404553,48.156598739349256,4.00972318649292,3.981098175048828,0.6044977307319641,1.699059009552002,0
3,12,emergent,0.0006444165394194,-0.1705740033498145,32.33324059302313,39.42283845533332,3.8078954219818115,3.8984735012054443,0.872056245803833,0.9108257293701172,1
3,15,never,0.0004026292482378,1.0830510572462009,30.952149360197556,34.66511761680523,3.8151307106018066,3.8316922187805176,1.1073565483093262,1.7948952913284302,0
4,0,born,0.0031717478576289,0.3311169684978784,49.02594469208853,49.7756348957491,4.035274982452393,3.9897594451904297,0.716742217540741,1.4134694337844849,0
4,3,emergent,0.001333828725154,0.7078086681651086,54.55284681499422,49.33624227972927,4.086357116699219,3.9784774780273438,0.6618035435676575,1.3751403093338013,1
4,6,growing,0.0270955774968435,0.7467363005888166,19.456877777694967,40.52882151636805,3.706719398498535,3.88387393951416,1.4309840202331543,1.8372851610183716,1
4,9,growing,0.0047904401809248,-0.12695218017060889,33.02804714958092,46.24613281358912,3.8374834060668945,3.9716787338256836,0.7147034406661987,1.157382607460022,1
4,12,never,0.0003002216108132,-0.050409697821894514,45.494206854722485,41.07558869560488,4.006809234619141,3.918316125869751,0.834536075592041,2.6244940757751465,0
4,15,growing,0.0013749988840954,-0.2606071566500572,54.675562380068406,50.77244871267036,4.082474708557129,4.021332740783691,0.5718047618865967,1.242992877960205,1
5,0,emergent,0.0011325322391216,0.3827849228578974,48.8843068486296,45.77681505715684,4.0288987159729,3.963573455810547,0.6327483654022217,1.8242027759552002,1
5,3,growing,0.0008961764804438,-0.0894580846478547,46.78684586126851,36.21725707849592,3.9931304454803467,3.8324978351593018,0.6243547797203064,2.5441091060638428,1
5,6,born,0.0024156666609074,0.08517596235794574,53.233902318530006,43.536797621086606,4.065018653869629,3.9481911659240723,0.5616260170936584,1.3297300338745117,0
5,9,born,0.0013116606853906,-0.7907632103860996,50.640978100938746,45.06917862212529,4.0435075759887695,3.9464383125305176,0.6690881252288818,1.8021212816238403,0
5,12,born,0.0038163292887455,-1.221031259191565,46.232323964693045,45.02298830330211,3.9867000579833984,3.9568333625793457,0.7607167959213257,1.7653485536575317,0
5,15,growing,0.0018428460963853,-0.4068306921757195,48.90960289134051,49.031850724645416,4.026159763336182,3.9941346645355225,0.6925382018089294,1.7764556407928467,1
6,0,emergent,0.0014350491423591,-0.16410011930549465,45.25861153703217,44.39687524030969,3.9797563552856445,3.933713912963867,0.7519273161888123,1.3648611307144165,1
6,3,emergent,0.0022080152488675,0.9208250977164972,31.098234933965784,39.60485634658504,3.8134255409240723,3.826512336730957,1.1327334642410278,1.0525468587875366,1
6,6,never,6.053833768739138e-05,-0.9275790097241408,48.569882546384065,48.3793678154481,4.025908470153809,3.9835093021392822,0.9272103905677795,1.3715226650238037,0
