class,checkpoint,n,nu,loc,sigma,nu_ci_lo,nu_ci_hi,nu_mom,delta_aic_t_vs_normal,std,skew,kurt_excess
never,143000,49,2.0330184430171365,-0.0001162934016226719,0.0001261481006127754,2.013598672403817,2.0554334236410616,inf,-10.252709238459374,0.00017015833386129845,0.05790161164815205,-0.3549888510451762
born,143000,6,3.104145337963475,-0.003030416489740179,0.0012167692767388284,0.20379751067438762,281507121.3108001,16.753768117865363,-0.655166797844835,0.002271743929139498,-1.3017593898494662,0.4704491993699693
emergent,143000,56,2.5308128431567525,-0.0014520899662640373,0.0007358488762680983,0.7398835647043135,2.6411284659982015,4.118503399844491,293.12295701810774,0.020189960280917477,-7.241132189161889,50.63145874188962
growing,143000,33,2.634458820057171,-0.001727908932552436,0.001256807740315541,0.6292113328272648,13607968.156361172,4.296470183650102,45.897090817117316,0.004575359012413697,-4.39536938597166,20.238122856500407
